doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher,OA Status
10.1111/cup.13445,,,,,FALSE,,2,https://doi.org/10.1111/cup.13445,journal-article,FALSE,FALSE,FALSE,FALSE,0303-6987,"0303-6987,1600-0560",Journal of Cutaneous Pathology,closed,4/3/2019,Wiley,Closed
10.1111/nin.12243,oa repository (via OAI-PMH title and first author match),repository,,https://escholarship.org/content/qt7tb3224c/qt7tb3224c.pdf?t=pc07ws,TRUE,publishedVersion,2,https://doi.org/10.1111/nin.12243,journal-article,TRUE,FALSE,FALSE,FALSE,1320-7881,1320-7881,Nursing Inquiry,green,4/10/2018,Wiley,Archived manuscript
10.1111/bph.14149,open (via free article),publisher,,https://bpspubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bph.14149,TRUE,publishedVersion,2,https://doi.org/10.1111/bph.14149,journal-article,TRUE,FALSE,FALSE,FALSE,0007-1188,0007-1188,British Journal of Pharmacology,bronze,3/1/2018,Wiley,Free
10.1002/eqe.3410,,,,,FALSE,,2,https://doi.org/10.1002/eqe.3410,journal-article,FALSE,FALSE,FALSE,FALSE,0098-8847,"0098-8847,1096-9845",Earthquake Engineering & Structural Dynamics,closed,12/21/2020,Wiley,Closed
10.1002/jts.22534,,,,,FALSE,,2,https://doi.org/10.1002/jts.22534,journal-article,FALSE,FALSE,FALSE,FALSE,0894-9867,"0894-9867,1573-6598",Journal of Traumatic Stress,closed,11/20/2020,Wiley,Closed
10.1002/anie.201916753,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/anie.201916753,TRUE,acceptedVersion,2,https://doi.org/10.1002/anie.201916753,journal-article,TRUE,FALSE,FALSE,FALSE,1433-7851,"1433-7851,1521-3773",Angewandte Chemie International Edition,bronze,2/19/2020,Wiley,Archived manuscript
10.1111/soc4.12723,,,,,FALSE,,2,https://doi.org/10.1111/soc4.12723,journal-article,FALSE,FALSE,FALSE,FALSE,1751-9020,"1751-9020,1751-9020",Sociology Compass,closed,7/21/2019,Wiley,Closed
10.1111/nin.12293,,,,,FALSE,,2,https://doi.org/10.1111/nin.12293,journal-article,FALSE,FALSE,FALSE,FALSE,1320-7881,"1320-7881,1440-1800",Nursing Inquiry,closed,4/1/2019,Wiley,Closed
10.1111/soc4.12669,,,,,FALSE,,2,https://doi.org/10.1111/soc4.12669,journal-article,FALSE,FALSE,FALSE,FALSE,1751-9020,1751-9020,Sociology Compass,closed,2/12/2019,Wiley,Closed
10.1029/2019gh000219,oa journal (via doaj),publisher,cc-by,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2019GH000219,TRUE,publishedVersion,2,https://doi.org/10.1029/2019gh000219,journal-article,TRUE,FALSE,TRUE,TRUE,2471-1403,"2471-1403,2471-1403",GeoHealth,gold,1/1/2020,American Geophysical Union (AGU),Full OA journal
10.1111/1468-0424.12414,,,,,FALSE,,2,https://doi.org/10.1111/1468-0424.12414,journal-article,FALSE,FALSE,FALSE,FALSE,0953-5233,0953-5233,Gender & History,closed,2/10/2019,Wiley,Closed
10.1111/aman.13020,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/aman.13020,TRUE,acceptedVersion,2,https://doi.org/10.1111/aman.13020,journal-article,TRUE,FALSE,FALSE,FALSE,0002-7294,"0002-7294,1548-1433",American Anthropologist,bronze,7/2/2018,Wiley,Archived manuscript
10.1111/lasr.12316,,,,,FALSE,,2,https://doi.org/10.1111/lasr.12316,journal-article,FALSE,FALSE,FALSE,FALSE,0023-9216,0023-9216,Law & Society Review,closed,1/23/2018,Wiley,Closed
10.1111/ejop.12612,,,,,FALSE,,2,https://doi.org/10.1111/ejop.12612,journal-article,FALSE,FALSE,FALSE,FALSE,0966-8373,"0966-8373,1468-0378",European Journal of Philosophy,closed,11/9/2020,Wiley,Closed
10.1111/soc4.12778,,,,,FALSE,,2,https://doi.org/10.1111/soc4.12778,journal-article,FALSE,FALSE,FALSE,FALSE,1751-9020,"1751-9020,1751-9020",Sociology Compass,closed,4/1/2020,Wiley,Closed
10.1002/glia.23781,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7813153,TRUE,acceptedVersion,2,https://doi.org/10.1002/glia.23781,journal-article,TRUE,FALSE,FALSE,FALSE,0894-1491,"0894-1491,1098-1136",Glia,green,1/11/2020,Wiley,Archived manuscript
10.1111/ijd.14744,,,,,FALSE,,2,https://doi.org/10.1111/ijd.14744,journal-article,FALSE,FALSE,FALSE,FALSE,0011-9059,"0011-9059,1365-4632",International Journal of Dermatology,closed,1/6/2020,Wiley,Closed
10.1002/sctm.18-0227,oa journal (via doaj),publisher,cc-by-nc-nd,https://stemcellsjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sctm.18-0227,TRUE,publishedVersion,2,https://doi.org/10.1002/sctm.18-0227,journal-article,TRUE,FALSE,TRUE,TRUE,2157-6564,"2157-6564,2157-6580",STEM CELLS Translational Medicine,gold,9/30/2019,Wiley,Full OA journal
10.1002/pro.3619,open (via free article),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pro.3619,TRUE,publishedVersion,2,https://doi.org/10.1002/pro.3619,journal-article,TRUE,FALSE,FALSE,FALSE,0961-8368,"0961-8368,1469-896X",Protein Science,bronze,5/1/2019,Wiley,Free
10.1002/jaal.909,oa repository (via OAI-PMH title and first author match),repository,,https://escholarship.org/content/qt6n41q963/qt6n41q963.pdf?t=pudft9,TRUE,publishedVersion,2,https://doi.org/10.1002/jaal.909,journal-article,TRUE,FALSE,FALSE,FALSE,1081-3004,1081-3004,Journal of Adolescent & Adult Literacy,green,9/14/2018,Wiley,Archived manuscript
10.1002/ett.3451,,,,,FALSE,,2,https://doi.org/10.1002/ett.3451,journal-article,FALSE,FALSE,FALSE,FALSE,2161-3915,2161-3915,Transactions on Emerging Telecommunications Technologies,closed,6/19/2018,Wiley,Closed
10.1111/hisn.12826,,,,,FALSE,,2,https://doi.org/10.1111/hisn.12826,journal-article,FALSE,FALSE,FALSE,FALSE,0018-2370,"0018-2370,1540-6563",The Historian,closed,3/1/2018,Informa UK Limited,Closed
10.1111/anti.12663,,,,,FALSE,,2,https://doi.org/10.1111/anti.12663,journal-article,FALSE,FALSE,FALSE,FALSE,0066-4812,"0066-4812,1467-8330",Antipode,closed,8/20/2020,Wiley,Closed
10.1002/smi.2975,open (via free article),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smi.2975,TRUE,publishedVersion,2,https://doi.org/10.1002/smi.2975,journal-article,TRUE,FALSE,FALSE,FALSE,1532-3005,"1532-3005,1532-2998",Stress and Health,bronze,8/13/2020,Wiley,Free
10.1002/cac2.12035,oa journal (via doaj),publisher,cc-by-nc-nd,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cac2.12035,TRUE,publishedVersion,2,https://doi.org/10.1002/cac2.12035,journal-article,TRUE,FALSE,TRUE,TRUE,2523-3548,"2523-3548,2523-3548",Cancer Communications,gold,5/25/2020,Wiley,Full OA journal
10.1111/modl.12610,,,,,FALSE,,2,https://doi.org/10.1111/modl.12610,journal-article,FALSE,FALSE,FALSE,FALSE,0026-7902,"0026-7902,1540-4781",The Modern Language Journal,closed,1/1/2020,Wiley,Closed
10.1002/cbic.201900596,,,,,FALSE,,2,https://doi.org/10.1002/cbic.201900596,journal-article,FALSE,FALSE,FALSE,FALSE,1439-4227,"1439-4227,1439-7633",ChemBioChem,closed,4/1/2020,Wiley,Closed
10.1002/cpe.5498,oa repository (via OAI-PMH title and first author match),repository,,https://escholarship.org/content/qt70c01656/qt70c01656.pdf?t=q0uqon,TRUE,publishedVersion,2,https://doi.org/10.1002/cpe.5498,journal-article,TRUE,FALSE,FALSE,FALSE,1532-0626,"1532-0626,1532-0634",Concurrency and Computation: Practice and Experience,green,10/18/2019,Wiley,Archived manuscript
10.1002/cne.24676,oa repository (via OAI-PMH title and first author match),repository,cc-by,https://escholarship.org/content/qt07b8s8tx/qt07b8s8tx.pdf?t=pwzsjh,TRUE,publishedVersion,2,https://doi.org/10.1002/cne.24676,journal-article,TRUE,FALSE,FALSE,FALSE,0021-9967,"0021-9967,1096-9861",Journal of Comparative Neurology,green,3/30/2019,Wiley,Archived manuscript
10.1111/jacc.12871,,,,,FALSE,,2,https://doi.org/10.1111/jacc.12871,journal-article,FALSE,FALSE,FALSE,FALSE,1542-7331,1542-7331,The Journal of American Culture,closed,6/1/2018,Wiley,Closed
10.1111/exd.14255,oa repository (via OAI-PMH title and first author match),repository,,https://doi.org/10.1101/2020.08.24.264598,TRUE,submittedVersion,2,https://doi.org/10.1111/exd.14255,journal-article,TRUE,FALSE,FALSE,FALSE,0906-6705,"0906-6705,1600-0625",Experimental Dermatology,green,12/20/2020,Wiley,Archived manuscript
10.1002/aelm.202000765,,,,,FALSE,,2,https://doi.org/10.1002/aelm.202000765,journal-article,FALSE,FALSE,FALSE,FALSE,2199-160X,"2199-160X,2199-160X",Advanced Electronic Materials,closed,11/30/2020,Wiley,Closed
10.1111/lapo.12152,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/lapo.12152,TRUE,acceptedVersion,2,https://doi.org/10.1111/lapo.12152,journal-article,TRUE,FALSE,FALSE,FALSE,0265-8240,"0265-8240,1467-9930",Law & Policy,bronze,7/1/2020,Wiley,Archived manuscript
10.1111/bju.15042,,,,,FALSE,,2,https://doi.org/10.1111/bju.15042,journal-article,FALSE,FALSE,FALSE,FALSE,1464-4096,"1464-4096,1464-410X",BJU International,closed,4/1/2020,Wiley,Closed
10.1111/meta.12388,,,,,FALSE,,2,https://doi.org/10.1111/meta.12388,journal-article,FALSE,FALSE,FALSE,FALSE,0026-1068,"0026-1068,1467-9973",Metaphilosophy,closed,10/1/2019,Wiley,Closed
10.1002/smll.201903834,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/smll.201903834,TRUE,acceptedVersion,2,https://doi.org/10.1002/smll.201903834,journal-article,TRUE,FALSE,FALSE,FALSE,1613-6810,"1613-6810,1613-6829",Small,bronze,9/18/2019,Wiley,Archived manuscript
10.1111/nous.12231,,,,,FALSE,,2,https://doi.org/10.1111/nous.12231,journal-article,FALSE,FALSE,FALSE,FALSE,0029-4624,"0029-4624,1468-0068",Noûs,closed,10/25/2017,Wiley,Closed
10.1002/jaal.1012,,,,,FALSE,,2,https://doi.org/10.1002/jaal.1012,journal-article,FALSE,FALSE,FALSE,FALSE,1081-3004,"1081-3004,1936-2706",Journal of Adolescent & Adult Literacy,closed,8/14/2019,Wiley,Closed
10.1111/cei.13299,open (via free article),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cei.13299,TRUE,publishedVersion,2,https://doi.org/10.1111/cei.13299,journal-article,TRUE,FALSE,FALSE,FALSE,0009-9104,"0009-9104,1365-2249",Clinical & Experimental Immunology,bronze,4/15/2019,Wiley,Free
10.1002/cm.21514,,,,,FALSE,,2,https://doi.org/10.1002/cm.21514,journal-article,FALSE,FALSE,FALSE,FALSE,1949-3592,1949-3584,Cytoskeleton,closed,2/1/2019,Wiley,Closed
10.1002/ejoc.201801494,,,,,FALSE,,2,https://doi.org/10.1002/ejoc.201801494,journal-article,FALSE,FALSE,FALSE,FALSE,1099-0690,1434-193X,European Journal of Organic Chemistry,closed,11/25/2018,Wiley,Closed
10.1002/lsm.23043,open (via free article),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/lsm.23043,TRUE,publishedVersion,2,https://doi.org/10.1002/lsm.23043,journal-article,TRUE,FALSE,FALSE,FALSE,0196-8092,0196-8092,Lasers in Surgery and Medicine,bronze,12/18/2018,Wiley,Free
10.1111/cup.13365,,,,,FALSE,,2,https://doi.org/10.1111/cup.13365,journal-article,FALSE,FALSE,FALSE,FALSE,0303-6987,0303-6987,Journal of Cutaneous Pathology,closed,10/21/2018,Wiley,Closed
10.1002/lsm.22753,,,,,FALSE,,2,https://doi.org/10.1002/lsm.22753,journal-article,FALSE,FALSE,FALSE,FALSE,0196-8092,0196-8092,Lasers in Surgery and Medicine,closed,11/7/2017,Wiley,Closed
10.1002/admi.202001423,,,,,FALSE,,2,https://doi.org/10.1002/admi.202001423,journal-article,FALSE,FALSE,FALSE,FALSE,2196-7350,"2196-7350,2196-7350",Advanced Materials Interfaces,closed,11/25/2020,Wiley,Closed
10.1002/lary.29246,,,,,FALSE,,2,https://doi.org/10.1002/lary.29246,journal-article,FALSE,FALSE,FALSE,FALSE,0023-852X,"0023-852X,1531-4995",The Laryngoscope,closed,11/11/2020,Wiley,Closed
10.1002/lary.28984,,,,,FALSE,,2,https://doi.org/10.1002/lary.28984,journal-article,FALSE,FALSE,FALSE,FALSE,0023-852X,"0023-852X,1531-4995",The Laryngoscope,closed,8/13/2020,Wiley,Closed
10.1002/lary.28618,oa repository (via OAI-PMH title and first author match),repository,,https://escholarship.org/content/qt46j9551d/qt46j9551d.pdf?t=q9hufo,TRUE,publishedVersion,2,https://doi.org/10.1002/lary.28618,journal-article,TRUE,FALSE,FALSE,FALSE,0023-852X,"0023-852X,1531-4995",The Laryngoscope,green,4/3/2020,Wiley,Archived manuscript
10.1111/soc4.12787,,,,,FALSE,,2,https://doi.org/10.1111/soc4.12787,journal-article,FALSE,FALSE,FALSE,FALSE,1751-9020,"1751-9020,1751-9020",Sociology Compass,closed,3/3/2020,Wiley,Closed
10.1111/1556-4029.14272,oa repository (via OAI-PMH title and first author match),repository,,https://escholarship.org/content/qt949351ct/qt949351ct.pdf?t=q6nxzi,TRUE,publishedVersion,2,https://doi.org/10.1111/1556-4029.14272,journal-article,TRUE,FALSE,FALSE,FALSE,0022-1198,"0022-1198,1556-4029",Journal of Forensic Sciences,green,1/27/2020,Wiley,Archived manuscript
10.1002/kin.21305,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/kin.21305,TRUE,acceptedVersion,2,https://doi.org/10.1002/kin.21305,journal-article,TRUE,FALSE,FALSE,FALSE,0538-8066,"0538-8066,1097-4601",International Journal of Chemical Kinetics,bronze,6/18/2019,Wiley,Archived manuscript
10.1029/2019gh000209,oa journal (via doaj),publisher,cc-by,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2019GH000209,TRUE,publishedVersion,2,https://doi.org/10.1029/2019gh000209,journal-article,TRUE,FALSE,TRUE,TRUE,2471-1403,"2471-1403,2471-1403",GeoHealth,gold,10/1/2019,American Geophysical Union (AGU),Full OA journal
10.1111/ehr.12698,,,,,FALSE,,2,https://doi.org/10.1111/ehr.12698,journal-article,FALSE,FALSE,FALSE,FALSE,0013-0117,"0013-0117,1468-0289",The Economic History Review,closed,3/30/2018,Wiley,Closed
10.1002/cncr.32075,open (via free article),publisher,,https://acsjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cncr.32075,TRUE,publishedVersion,2,https://doi.org/10.1002/cncr.32075,journal-article,TRUE,FALSE,FALSE,FALSE,0008-543X,"0008-543X,1097-0142",Cancer,bronze,5/15/2019,Wiley,Free
10.1111/ppe.12567,,,,,FALSE,,2,https://doi.org/10.1111/ppe.12567,journal-article,FALSE,FALSE,FALSE,FALSE,0269-5022,"0269-5022,1365-3016",Paediatric and Perinatal Epidemiology,closed,7/1/2019,Wiley,Closed
10.1111/ciso.12203,open (via free article),publisher,,https://anthrosource.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ciso.12203,TRUE,publishedVersion,2,https://doi.org/10.1111/ciso.12203,journal-article,TRUE,FALSE,FALSE,FALSE,0893-0465,"0893-0465,1548-744X",City & Society,bronze,3/1/2019,Wiley,Free
10.1002/biot.201800140,,,,,FALSE,,2,https://doi.org/10.1002/biot.201800140,journal-article,FALSE,FALSE,FALSE,FALSE,1860-6768,"1860-6768,1860-7314",Biotechnology Journal,closed,9/21/2018,Wiley,Closed
10.1111/jomf.12506,oa repository (via OAI-PMH doi match),repository,,https://europepmc.org/articles/pmc6238967?pdf=render,TRUE,acceptedVersion,2,https://doi.org/10.1111/jomf.12506,journal-article,TRUE,FALSE,FALSE,FALSE,0022-2445,"0022-2445,1741-3737",Journal of Marriage and Family,green,6/19/2018,Wiley,Archived manuscript
10.1002/anie.201807317,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/anie.201807317,TRUE,acceptedVersion,2,https://doi.org/10.1002/anie.201807317,journal-article,TRUE,FALSE,FALSE,FALSE,1433-7851,"1433-7851,1521-3773",Angewandte Chemie International Edition,bronze,8/7/2018,Wiley,Archived manuscript
10.1111/blar.12808,,,,,FALSE,,2,https://doi.org/10.1111/blar.12808,journal-article,FALSE,FALSE,FALSE,FALSE,0261-3050,0261-3050,Bulletin of Latin American Research,closed,7/1/2018,Wiley,Closed
10.1111/soin.12185,,,,,FALSE,,2,https://doi.org/10.1111/soin.12185,journal-article,FALSE,FALSE,FALSE,FALSE,0038-0245,0038-0245,Sociological Inquiry,closed,5/24/2017,Wiley,Closed
10.1002/chem.202002214,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939235,TRUE,acceptedVersion,2,https://doi.org/10.1002/chem.202002214,journal-article,TRUE,FALSE,FALSE,FALSE,0947-6539,"0947-6539,1521-3765",Chemistry – A European Journal,green,10/22/2020,Wiley,Archived manuscript
10.1111/hic3.12616,,,,,FALSE,,2,https://doi.org/10.1111/hic3.12616,journal-article,FALSE,FALSE,FALSE,FALSE,1478-0542,"1478-0542,1478-0542",History Compass,closed,7/1/2020,Wiley,Closed
10.1111/ijd.14687,,,,,FALSE,,2,https://doi.org/10.1111/ijd.14687,journal-article,FALSE,FALSE,FALSE,FALSE,0011-9059,"0011-9059,1365-4632",International Journal of Dermatology,closed,10/19/2019,Wiley,Closed
10.1111/psj.12283,,,,,FALSE,,2,https://doi.org/10.1111/psj.12283,journal-article,FALSE,FALSE,FALSE,FALSE,0190-292X,"0190-292X,1541-0072",Policy Studies Journal,closed,10/15/2018,Wiley,Closed
10.1111/jcap.12246,,,,,FALSE,,2,https://doi.org/10.1111/jcap.12246,journal-article,FALSE,FALSE,FALSE,FALSE,1073-6077,"1073-6077,1744-6171",Journal of Child and Adolescent Psychiatric Nursing,closed,7/21/2019,Wiley,Closed
10.1002/chem.201803735,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/chem.201803735,TRUE,acceptedVersion,2,https://doi.org/10.1002/chem.201803735,journal-article,TRUE,FALSE,FALSE,FALSE,0947-6539,"0947-6539,1521-3765",Chemistry – A European Journal,bronze,12/6/2018,Wiley,Archived manuscript
10.1002/cpt.1186,,,,,FALSE,,2,https://doi.org/10.1002/cpt.1186,journal-article,FALSE,FALSE,FALSE,FALSE,0009-9236,0009-9236,Clinical Pharmacology & Therapeutics,closed,9/4/2018,Wiley,Closed
10.1002/ecs2.2429,oa journal (via doaj),publisher,cc-by,https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecs2.2429,TRUE,publishedVersion,2,https://doi.org/10.1002/ecs2.2429,journal-article,TRUE,FALSE,TRUE,TRUE,2150-8925,2150-8925,Ecosphere,gold,9/1/2018,Wiley,Full OA journal
10.1111/rati.12161,,,,,FALSE,,2,https://doi.org/10.1111/rati.12161,journal-article,FALSE,FALSE,FALSE,FALSE,0034-0006,0034-0006,Ratio,closed,3/7/2017,Wiley,Closed
10.1111/meta.12295,oa repository (via OAI-PMH doi match),repository,,https://www.pure.ed.ac.uk/ws/files/50559895/NeuromediaEpistEducation.pdf,TRUE,acceptedVersion,2,https://doi.org/10.1111/meta.12295,journal-article,TRUE,FALSE,FALSE,FALSE,0026-1068,0026-1068,Metaphilosophy,green,4/1/2018,Wiley,Archived manuscript
10.1002/tea.21674,,,,,FALSE,,2,https://doi.org/10.1002/tea.21674,journal-article,FALSE,FALSE,FALSE,FALSE,0022-4308,"0022-4308,1098-2736",Journal of Research in Science Teaching,closed,10/28/2020,Wiley,Closed
10.1111/soc4.12827,,,,,FALSE,,2,https://doi.org/10.1111/soc4.12827,journal-article,FALSE,FALSE,FALSE,FALSE,1751-9020,"1751-9020,1751-9020",Sociology Compass,closed,8/11/2020,Wiley,Closed
10.1111/soc4.12740,oa repository (via OAI-PMH title and first author match),repository,,https://osf.io/xn9uj/download,TRUE,submittedVersion,2,https://doi.org/10.1111/soc4.12740,journal-article,TRUE,FALSE,FALSE,FALSE,1751-9020,"1751-9020,1751-9020",Sociology Compass,green,12/11/2019,Wiley,Archived manuscript
10.1002/ijch.201900071,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7799436,TRUE,acceptedVersion,2,https://doi.org/10.1002/ijch.201900071,journal-article,TRUE,FALSE,FALSE,FALSE,0021-2148,"0021-2148,1869-5868",Israel Journal of Chemistry,green,9/6/2019,Wiley,Archived manuscript
10.1111/1745-9133.12378,,,,,FALSE,,2,https://doi.org/10.1111/1745-9133.12378,journal-article,FALSE,FALSE,FALSE,FALSE,1538-6473,1538-6473,Criminology & Public Policy,closed,8/1/2018,Wiley,Closed
10.1002/jcop.22471,,,,,FALSE,,2,https://doi.org/10.1002/jcop.22471,journal-article,FALSE,FALSE,FALSE,FALSE,0090-4392,"0090-4392,1520-6629",Journal of Community Psychology,closed,11/22/2020,Wiley,Closed
10.1111/1468-2427.12951,,,,,FALSE,,2,https://doi.org/10.1111/1468-2427.12951,journal-article,FALSE,FALSE,FALSE,FALSE,0309-1317,"0309-1317,1468-2427",International Journal of Urban and Regional Research,closed,10/3/2020,Wiley,Closed
10.1002/cbic.202000279,open (via free article),publisher,,https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1002/cbic.202000279,TRUE,publishedVersion,2,https://doi.org/10.1002/cbic.202000279,journal-article,TRUE,FALSE,FALSE,FALSE,1439-4227,"1439-4227,1439-7633",ChemBioChem,bronze,5/19/2020,Wiley,Free
10.1111/aeq.12341,,,,,FALSE,,2,https://doi.org/10.1111/aeq.12341,journal-article,FALSE,FALSE,FALSE,FALSE,0161-7761,"0161-7761,1548-1492",Anthropology & Education Quarterly,closed,4/19/2020,Wiley,Closed
10.1111/phpr.12676,,,,,FALSE,,2,https://doi.org/10.1111/phpr.12676,journal-article,FALSE,FALSE,FALSE,FALSE,0031-8205,"0031-8205,1933-1592",Philosophy and Phenomenological Research,closed,3/1/2020,Wiley,Closed
10.1111/1468-2427.12836,,,,,FALSE,,2,https://doi.org/10.1111/1468-2427.12836,journal-article,FALSE,FALSE,FALSE,FALSE,0309-1317,"0309-1317,1468-2427",International Journal of Urban and Regional Research,closed,8/16/2019,Wiley,Closed
10.1002/jcc.25783,oa repository (via OAI-PMH title and first author match),repository,,https://escholarship.org/content/qt7dx3938q/qt7dx3938q.pdf?t=qcsc19,TRUE,publishedVersion,2,https://doi.org/10.1002/jcc.25783,journal-article,TRUE,FALSE,FALSE,FALSE,0192-8651,"0192-8651,1096-987X",Journal of Computational Chemistry,green,2/18/2019,Wiley,Archived manuscript
10.1111/1467-8322.12495,,,,,FALSE,,2,https://doi.org/10.1111/1467-8322.12495,journal-article,FALSE,FALSE,FALSE,FALSE,0268-540X,"0268-540X,1467-8322",Anthropology Today,closed,4/1/2019,Wiley,Closed
10.1111/lsi.12340,,,,,FALSE,,2,https://doi.org/10.1111/lsi.12340,journal-article,FALSE,FALSE,FALSE,FALSE,0897-6546,"0897-6546,1747-4469",Law & Social Inquiry,closed,1/1/2018,Cambridge University Press (CUP),Closed
10.1002/jum.15461,,,,,FALSE,,2,https://doi.org/10.1002/jum.15461,journal-article,FALSE,FALSE,FALSE,FALSE,0278-4297,"0278-4297,1550-9613",Journal of Ultrasound in Medicine,closed,9/4/2020,Wiley,Closed
10.1002/syn.22183,,,,,FALSE,,2,https://doi.org/10.1002/syn.22183,journal-article,FALSE,FALSE,FALSE,FALSE,0887-4476,"0887-4476,1098-2396",Synapse,closed,8/6/2020,Wiley,Closed
10.1002/jgc4.1264,oa repository (via OAI-PMH title and first author match),repository,,https://escholarship.org/content/qt3xt6v8j0/qt3xt6v8j0.pdf?t=pdhypd,TRUE,publishedVersion,2,https://doi.org/10.1002/jgc4.1264,journal-article,TRUE,FALSE,FALSE,FALSE,1059-7700,"1059-7700,1573-3599",Journal of Genetic Counseling,green,3/28/2020,Wiley,Archived manuscript
10.1111/acel.12919,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1111/acel.12919,TRUE,publishedVersion,2,https://doi.org/10.1111/acel.12919,journal-article,TRUE,FALSE,TRUE,TRUE,1474-9718,"1474-9718,1474-9726",Aging Cell,gold,2/27/2019,Wiley,Full OA journal
10.1111/1745-9133.12413,,,,,FALSE,,2,https://doi.org/10.1111/1745-9133.12413,journal-article,FALSE,FALSE,FALSE,FALSE,1538-6473,"1538-6473,1745-9133",Criminology & Public Policy,closed,2/1/2019,Wiley,Closed
10.1111/1462-2920.14405,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/1462-2920.14405,TRUE,acceptedVersion,2,https://doi.org/10.1111/1462-2920.14405,journal-article,TRUE,FALSE,FALSE,FALSE,1462-2912,"1462-2912,1462-2920",Environmental Microbiology,bronze,10/5/2018,Wiley,Archived manuscript
10.1111/epi.14541,oa repository (via OAI-PMH doi match),repository,,https://europepmc.org/articles/pmc6204291?pdf=render,TRUE,acceptedVersion,2,https://doi.org/10.1111/epi.14541,journal-article,TRUE,FALSE,FALSE,FALSE,0013-9580,0013-9580,Epilepsia,green,8/26/2018,Wiley,Archived manuscript
10.1111/bju.14190,,,,,FALSE,,2,https://doi.org/10.1111/bju.14190,journal-article,FALSE,FALSE,FALSE,FALSE,1464-4096,1464-4096,BJU International,closed,4/14/2018,Wiley,Closed
10.1002/2017gh000095,oa journal (via doaj),publisher,cc-by-nc-nd,https://doi.org/10.1002/2017gh000095,TRUE,publishedVersion,2,https://doi.org/10.1002/2017gh000095,journal-article,TRUE,FALSE,TRUE,TRUE,2471-1403,"2471-1403,2471-1403",GeoHealth,gold,1/1/2018,American Geophysical Union (AGU),Full OA journal
10.1111/soc4.12832,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1111/soc4.12832,TRUE,acceptedVersion,2,https://doi.org/10.1111/soc4.12832,journal-article,TRUE,FALSE,FALSE,FALSE,1751-9020,"1751-9020,1751-9020",Sociology Compass,bronze,9/3/2020,Wiley,Archived manuscript
